mean,RMS,ptp,std,max,min
20.509,20.509,0.123,0.032,20.549,20.426
20.512,20.512,0.124,0.034,20.55,20.426
20.513,20.513,0.124,0.036,20.55,20.426
20.503,20.503,0.124,0.039,20.55,20.426
20.502,20.502,0.124,0.039,20.55,20.426
20.494,20.494,0.128,0.046,20.55,20.422
20.494,20.494,0.128,0.046,20.55,20.422
20.486,20.486,0.128,0.047,20.55,20.422
20.493,20.493,0.128,0.043,20.55,20.422
20.494,20.494,0.128,0.043,20.55,20.422
20.494,20.494,0.128,0.043,20.55,20.422
20.486,20.486,0.128,0.039,20.55,20.422
20.489,20.489,0.151,0.043,20.573,20.422
20.497,20.497,0.151,0.041,20.573,20.422
20.493,20.493,0.151,0.044,20.573,20.422
20.495,20.495,0.132,0.04,20.573,20.441
20.495,20.495,0.132,0.04,20.573,20.441
20.497,20.497,0.123,0.038,20.573,20.45
20.493,20.493,0.123,0.039,20.573,20.45
20.496,20.496,0.123,0.04,20.573,20.45
20.49,20.49,0.123,0.039,20.573,20.45
20.488,20.488,0.123,0.04,20.573,20.45
20.476,20.476,0.08,0.03,20.53,20.45
20.478,20.478,0.095,0.033,20.545,20.45
20.487,20.487,0.095,0.036,20.545,20.45
20.489,20.489,0.09,0.035,20.545,20.455
20.486,20.486,0.09,0.034,20.545,20.455
20.487,20.487,0.09,0.033,20.545,20.455
20.502,20.502,0.154,0.048,20.609,20.455
20.51,20.51,0.154,0.058,20.609,20.455
20.521,20.521,0.154,0.06,20.609,20.455
20.523,20.523,0.154,0.058,20.609,20.455
20.533,20.533,0.143,0.054,20.609,20.466
20.525,20.525,0.143,0.057,20.609,20.466
20.52,20.52,0.143,0.058,20.609,20.466
20.528,20.528,0.143,0.056,20.609,20.466
20.537,20.537,0.143,0.055,20.609,20.466
20.537,20.537,0.14,0.055,20.609,20.469
20.532,20.532,0.14,0.05,20.609,20.469
20.521,20.521,0.111,0.043,20.58,20.469
20.511,20.511,0.099,0.039,20.568,20.469
20.516,20.516,0.099,0.037,20.568,20.469
20.512,20.512,0.099,0.035,20.568,20.469
20.511,20.511,0.104,0.035,20.568,20.464
20.511,20.511,0.104,0.036,20.568,20.464
20.505,20.505,0.104,0.033,20.568,20.464
20.498,20.498,0.089,0.025,20.553,20.464
20.5,20.5,0.089,0.024,20.553,20.464
20.492,20.492,0.052,0.016,20.516,20.464
20.49,20.49,0.052,0.016,20.516,20.464
20.488,20.489,0.052,0.017,20.516,20.464
20.486,20.486,0.052,0.015,20.516,20.464
20.485,20.485,0.039,0.012,20.503,20.464
20.488,20.488,0.03,0.01,20.503,20.473
20.486,20.486,0.043,0.013,20.503,20.46
20.484,20.484,0.043,0.012,20.503,20.46
20.483,20.483,0.043,0.011,20.503,20.46
20.483,20.483,0.043,0.011,20.503,20.46
20.486,20.486,0.049,0.013,20.509,20.46
20.489,20.489,0.049,0.015,20.509,20.46
20.489,20.489,0.049,0.015,20.509,20.46
20.491,20.491,0.053,0.016,20.513,20.46
20.492,20.492,0.053,0.017,20.513,20.46
20.494,20.494,0.053,0.018,20.513,20.46
20.501,20.501,0.053,0.017,20.526,20.473
20.505,20.505,0.056,0.018,20.529,20.473
20.508,20.508,0.056,0.016,20.529,20.473
20.51,20.51,0.056,0.014,20.529,20.473
20.512,20.512,0.056,0.015,20.529,20.473
20.513,20.513,0.056,0.015,20.529,20.473
20.519,20.519,0.021,0.008,20.531,20.51
20.52,20.52,0.021,0.007,20.531,20.51
20.519,20.519,0.029,0.009,20.531,20.502
20.521,20.521,0.03,0.009,20.532,20.502
20.522,20.522,0.04,0.011,20.542,20.502
20.521,20.521,0.04,0.011,20.542,20.502
20.522,20.522,0.04,0.011,20.542,20.502
20.521,20.521,0.04,0.011,20.542,20.502
20.521,20.521,0.04,0.011,20.542,20.502
20.519,20.519,0.045,0.013,20.542,20.497
20.516,20.516,0.045,0.013,20.542,20.497
20.514,20.515,0.045,0.014,20.542,20.497
20.515,20.515,0.045,0.013,20.542,20.497
20.513,20.513,0.045,0.012,20.542,20.497
20.501,20.501,0.101,0.027,20.523,20.422
20.5,20.5,0.101,0.027,20.523,20.422
20.492,20.492,0.101,0.032,20.523,20.422
20.495,20.495,0.109,0.034,20.531,20.422
20.492,20.493,0.109,0.032,20.531,20.422
20.493,20.493,0.109,0.033,20.531,20.422
20.486,20.486,0.109,0.037,20.531,20.422
20.478,20.479,0.109,0.039,20.531,20.422
20.482,20.482,0.115,0.042,20.537,20.422
20.484,20.484,0.115,0.044,20.537,20.422
20.492,20.492,0.105,0.04,20.537,20.432
20.491,20.491,0.105,0.039,20.537,20.432
20.497,20.497,0.105,0.035,20.537,20.432
20.495,20.495,0.105,0.034,20.537,20.432
20.499,20.499,0.111,0.037,20.543,20.432
20.501,20.501,0.111,0.037,20.543,20.432
20.514,20.514,0.133,0.034,20.567,20.434
20.518,20.518,0.097,0.027,20.567,20.47
20.517,20.517,0.097,0.026,20.567,20.47
20.516,20.516,0.097,0.026,20.567,20.47
20.523,20.523,0.1,0.03,20.57,20.47
20.527,20.527,0.1,0.029,20.57,20.47
