mean,RMS,ptp,std,max,min
20.502,20.502,0.128,0.039,20.55,20.422
20.499,20.499,0.128,0.039,20.55,20.422
20.501,20.501,0.151,0.041,20.573,20.422
20.5,20.5,0.151,0.04,20.573,20.422
20.497,20.497,0.151,0.042,20.573,20.422
20.495,20.495,0.151,0.043,20.573,20.422
20.495,20.495,0.151,0.043,20.573,20.422
20.491,20.491,0.151,0.043,20.573,20.422
20.493,20.493,0.151,0.041,20.573,20.422
20.495,20.495,0.151,0.042,20.573,20.422
20.492,20.492,0.151,0.041,20.573,20.422
20.487,20.487,0.151,0.039,20.573,20.422
20.482,20.483,0.151,0.037,20.573,20.422
20.488,20.488,0.151,0.038,20.573,20.422
20.49,20.49,0.151,0.04,20.573,20.422
20.492,20.492,0.132,0.037,20.573,20.441
20.491,20.491,0.132,0.037,20.573,20.441
20.492,20.492,0.123,0.036,20.573,20.45
20.497,20.497,0.159,0.044,20.609,20.45
20.503,20.503,0.159,0.05,20.609,20.45
20.506,20.506,0.159,0.053,20.609,20.45
20.505,20.505,0.159,0.053,20.609,20.45
20.505,20.505,0.159,0.052,20.609,20.45
20.502,20.502,0.159,0.052,20.609,20.45
20.503,20.503,0.159,0.051,20.609,20.45
20.509,20.509,0.154,0.051,20.609,20.455
20.511,20.512,0.154,0.052,20.609,20.455
20.512,20.512,0.154,0.052,20.609,20.455
20.517,20.517,0.154,0.051,20.609,20.455
20.516,20.516,0.154,0.051,20.609,20.455
20.516,20.516,0.154,0.051,20.609,20.455
20.519,20.519,0.154,0.049,20.609,20.455
20.522,20.522,0.143,0.047,20.609,20.466
20.518,20.518,0.145,0.048,20.609,20.464
20.515,20.515,0.145,0.049,20.609,20.464
20.517,20.517,0.145,0.048,20.609,20.464
20.517,20.517,0.145,0.047,20.609,20.464
20.518,20.518,0.145,0.046,20.609,20.464
20.512,20.512,0.145,0.042,20.609,20.464
20.505,20.505,0.116,0.036,20.58,20.464
20.5,20.5,0.104,0.032,20.568,20.464
20.501,20.501,0.104,0.032,20.568,20.464
20.498,20.498,0.104,0.029,20.568,20.464
20.499,20.499,0.104,0.029,20.568,20.464
20.498,20.498,0.108,0.03,20.568,20.46
20.495,20.495,0.108,0.027,20.568,20.46
20.49,20.49,0.093,0.021,20.553,20.46
20.491,20.491,0.093,0.02,20.553,20.46
20.489,20.489,0.056,0.015,20.516,20.46
20.489,20.489,0.056,0.015,20.516,20.46
20.489,20.489,0.056,0.016,20.516,20.46
20.489,20.489,0.056,0.016,20.516,20.46
20.488,20.488,0.053,0.015,20.513,20.46
20.491,20.491,0.053,0.015,20.513,20.46
20.493,20.493,0.066,0.017,20.526,20.46
20.495,20.495,0.069,0.018,20.529,20.46
20.495,20.495,0.069,0.019,20.529,20.46
20.497,20.497,0.069,0.019,20.529,20.46
20.499,20.499,0.069,0.019,20.529,20.46
20.501,20.501,0.069,0.019,20.529,20.46
20.504,20.504,0.071,0.019,20.531,20.46
20.505,20.505,0.071,0.019,20.531,20.46
20.505,20.505,0.071,0.019,20.531,20.46
20.507,20.507,0.072,0.02,20.532,20.46
20.512,20.512,0.069,0.018,20.542,20.473
20.513,20.513,0.069,0.017,20.542,20.473
20.515,20.515,0.069,0.015,20.542,20.473
20.516,20.516,0.069,0.014,20.542,20.473
20.517,20.517,0.069,0.014,20.542,20.473
20.516,20.516,0.069,0.014,20.542,20.473
20.518,20.518,0.045,0.011,20.542,20.497
20.517,20.517,0.045,0.011,20.542,20.497
20.517,20.517,0.045,0.012,20.542,20.497
20.517,20.517,0.045,0.012,20.542,20.497
20.512,20.512,0.12,0.024,20.542,20.422
20.511,20.511,0.12,0.023,20.542,20.422
20.507,20.507,0.12,0.028,20.542,20.422
20.508,20.508,0.12,0.028,20.542,20.422
20.507,20.507,0.12,0.028,20.542,20.422
20.506,20.506,0.12,0.028,20.542,20.422
20.501,20.501,0.12,0.032,20.542,20.422
20.496,20.497,0.12,0.034,20.542,20.422
20.498,20.498,0.12,0.036,20.542,20.422
20.498,20.498,0.12,0.036,20.542,20.422
20.497,20.497,0.115,0.034,20.537,20.422
20.496,20.496,0.115,0.034,20.537,20.422
20.495,20.495,0.115,0.034,20.537,20.422
20.495,20.495,0.115,0.034,20.537,20.422
20.496,20.496,0.121,0.035,20.543,20.422
20.497,20.497,0.121,0.035,20.543,20.422
20.5,20.5,0.145,0.038,20.567,20.422
20.498,20.498,0.145,0.039,20.567,20.422
20.499,20.499,0.145,0.039,20.567,20.422
20.5,20.5,0.145,0.04,20.567,20.422
20.507,20.507,0.138,0.038,20.57,20.432
20.509,20.509,0.138,0.039,20.57,20.432
20.514,20.514,0.138,0.036,20.57,20.432
20.514,20.514,0.138,0.036,20.57,20.432
20.512,20.512,0.138,0.037,20.57,20.432
20.51,20.51,0.138,0.038,20.57,20.432
20.515,20.515,0.136,0.034,20.57,20.434
20.52,20.52,0.104,0.029,20.57,20.466
20.519,20.519,0.104,0.029,20.57,20.466
20.517,20.517,0.104,0.029,20.57,20.466
20.519,20.519,0.104,0.029,20.57,20.466
20.518,20.518,0.104,0.031,20.57,20.466
20.517,20.517,0.104,0.032,20.57,20.466
20.513,20.513,0.132,0.036,20.57,20.438
20.512,20.512,0.132,0.036,20.57,20.438
20.508,20.508,0.144,0.04,20.57,20.426
20.501,20.501,0.144,0.041,20.57,20.426
20.5,20.5,0.144,0.042,20.57,20.426
20.501,20.501,0.144,0.043,20.57,20.426
20.503,20.503,0.144,0.044,20.57,20.426
20.496,20.496,0.126,0.043,20.552,20.426
20.494,20.494,0.126,0.042,20.552,20.426
20.495,20.495,0.127,0.043,20.553,20.426
20.495,20.495,0.127,0.043,20.553,20.426
20.498,20.498,0.127,0.043,20.553,20.426
20.501,20.501,0.127,0.043,20.553,20.426
20.497,20.497,0.127,0.044,20.553,20.426
20.497,20.497,0.127,0.044,20.553,20.426
20.498,20.498,0.127,0.045,20.553,20.426
20.5,20.5,0.127,0.046,20.553,20.426
20.496,20.496,0.127,0.046,20.553,20.426
20.497,20.497,0.127,0.046,20.553,20.426
20.498,20.498,0.127,0.045,20.553,20.426
20.505,20.505,0.153,0.046,20.579,20.426
20.502,20.502,0.153,0.047,20.579,20.426
20.507,20.507,0.139,0.043,20.579,20.44
20.508,20.508,0.135,0.041,20.579,20.444
20.512,20.512,0.135,0.039,20.579,20.444
20.509,20.509,0.135,0.038,20.579,20.444
20.506,20.506,0.135,0.037,20.579,20.444
20.508,20.508,0.135,0.035,20.579,20.444
20.506,20.506,0.135,0.036,20.579,20.444
20.5,20.5,0.147,0.037,20.579,20.432
20.5,20.5,0.147,0.037,20.579,20.432
20.501,20.501,0.147,0.038,20.579,20.432
20.503,20.503,0.147,0.041,20.579,20.432
20.504,20.504,0.147,0.04,20.579,20.432
20.502,20.502,0.147,0.039,20.579,20.432
20.499,20.499,0.147,0.037,20.579,20.432
20.499,20.499,0.147,0.037,20.579,20.432
20.499,20.499,0.147,0.036,20.579,20.432
20.498,20.498,0.147,0.037,20.579,20.432
20.497,20.497,0.147,0.038,20.579,20.432
20.495,20.495,0.139,0.034,20.571,20.432
20.495,20.495,0.139,0.034,20.571,20.432
20.493,20.493,0.139,0.033,20.571,20.432
20.492,20.492,0.139,0.034,20.571,20.432
20.488,20.488,0.139,0.034,20.571,20.432
20.492,20.492,0.139,0.037,20.571,20.432
20.495,20.495,0.139,0.039,20.571,20.432
20.496,20.496,0.139,0.039,20.571,20.432
20.495,20.495,0.139,0.04,20.571,20.432
20.496,20.496,0.12,0.038,20.571,20.451
20.493,20.493,0.12,0.039,20.571,20.451
20.489,20.489,0.12,0.037,20.571,20.451
20.484,20.484,0.104,0.033,20.555,20.451
20.487,20.487,0.104,0.034,20.555,20.451
20.487,20.487,0.104,0.034,20.555,20.451
20.488,20.488,0.104,0.034,20.555,20.451
20.486,20.486,0.104,0.033,20.555,20.451
20.491,20.491,0.118,0.037,20.569,20.451
20.493,20.493,0.118,0.036,20.569,20.451
20.494,20.494,0.118,0.036,20.569,20.451
20.493,20.493,0.118,0.035,20.569,20.451
20.495,20.495,0.118,0.035,20.569,20.451
20.496,20.496,0.118,0.035,20.569,20.451
20.499,20.499,0.116,0.034,20.569,20.453
20.502,20.502,0.116,0.033,20.569,20.453
20.501,20.501,0.116,0.032,20.569,20.453
20.501,20.501,0.116,0.031,20.569,20.453
20.501,20.501,0.116,0.031,20.569,20.453
20.504,20.504,0.116,0.03,20.569,20.453
20.506,20.506,0.113,0.028,20.569,20.456
20.508,20.508,0.105,0.026,20.569,20.464
20.51,20.51,0.105,0.024,20.569,20.464
20.511,20.511,0.084,0.022,20.569,20.485
20.51,20.51,0.084,0.022,20.569,20.485
20.511,20.511,0.084,0.022,20.569,20.485
20.51,20.51,0.084,0.022,20.569,20.485
20.512,20.512,0.082,0.021,20.569,20.487
20.509,20.509,0.058,0.017,20.545,20.487
20.51,20.51,0.058,0.016,20.545,20.487
20.511,20.511,0.058,0.016,20.545,20.487
20.511,20.511,0.058,0.016,20.545,20.487
20.511,20.511,0.058,0.016,20.545,20.487
20.513,20.513,0.058,0.017,20.545,20.487
20.515,20.515,0.058,0.018,20.545,20.487
20.513,20.513,0.058,0.019,20.545,20.487
20.512,20.512,0.058,0.017,20.545,20.487
20.51,20.51,0.058,0.015,20.545,20.487
20.51,20.51,0.058,0.015,20.545,20.487
20.51,20.51,0.058,0.016,20.545,20.487
20.512,20.512,0.058,0.016,20.545,20.487
20.509,20.509,0.129,0.026,20.545,20.416
20.507,20.507,0.129,0.027,20.545,20.416
20.507,20.507,0.129,0.027,20.545,20.416
20.507,20.507,0.129,0.027,20.545,20.416
20.508,20.508,0.129,0.027,20.545,20.416
20.508,20.508,0.129,0.027,20.545,20.416
20.507,20.507,0.129,0.027,20.545,20.416
20.506,20.506,0.129,0.027,20.545,20.416
20.502,20.502,0.129,0.033,20.545,20.416
20.497,20.497,0.129,0.038,20.545,20.416
20.498,20.498,0.129,0.038,20.545,20.416
20.496,20.496,0.129,0.037,20.545,20.416
20.49,20.49,0.123,0.038,20.539,20.416
20.488,20.488,0.116,0.037,20.532,20.416
20.49,20.49,0.116,0.038,20.532,20.416
20.49,20.49,0.116,0.038,20.532,20.416
20.489,20.489,0.116,0.037,20.532,20.416
20.49,20.49,0.116,0.038,20.532,20.416
20.489,20.489,0.116,0.037,20.532,20.416
20.488,20.488,0.112,0.036,20.528,20.416
20.494,20.494,0.115,0.033,20.533,20.418
20.496,20.496,0.115,0.033,20.533,20.418
20.496,20.496,0.115,0.033,20.533,20.418
20.497,20.497,0.115,0.033,20.533,20.418
20.495,20.495,0.115,0.033,20.533,20.418
20.496,20.496,0.115,0.033,20.533,20.418
20.498,20.498,0.115,0.034,20.533,20.418
20.494,20.494,0.12,0.039,20.533,20.413
20.494,20.494,0.12,0.038,20.533,20.413
20.495,20.495,0.12,0.036,20.533,20.413
20.493,20.493,0.12,0.036,20.533,20.413
20.491,20.491,0.12,0.037,20.533,20.413
20.496,20.496,0.12,0.034,20.533,20.413
20.496,20.496,0.12,0.035,20.533,20.413
20.496,20.496,0.12,0.034,20.533,20.413
20.497,20.497,0.12,0.035,20.533,20.413
20.498,20.498,0.12,0.035,20.533,20.413
20.497,20.497,0.12,0.035,20.533,20.413
20.496,20.496,0.12,0.035,20.533,20.413
20.496,20.496,0.12,0.035,20.533,20.413
20.496,20.496,0.116,0.034,20.529,20.413
20.496,20.496,0.116,0.034,20.529,20.413
20.496,20.496,0.116,0.034,20.529,20.413
20.495,20.495,0.116,0.034,20.529,20.413
20.495,20.495,0.116,0.034,20.529,20.413
20.492,20.492,0.116,0.034,20.529,20.413
20.489,20.489,0.112,0.034,20.525,20.413
20.495,20.495,0.101,0.03,20.533,20.432
20.499,20.499,0.099,0.027,20.533,20.434
20.502,20.502,0.081,0.023,20.533,20.452
20.503,20.503,0.081,0.023,20.533,20.452
20.503,20.503,0.086,0.023,20.533,20.447
20.504,20.504,0.101,0.025,20.548,20.447
20.504,20.504,0.101,0.025,20.548,20.447
20.501,20.501,0.101,0.027,20.548,20.447
20.497,20.497,0.111,0.03,20.548,20.437
20.493,20.493,0.111,0.032,20.548,20.437
20.49,20.49,0.111,0.034,20.548,20.437
20.489,20.489,0.111,0.035,20.548,20.437
20.488,20.488,0.111,0.034,20.548,20.437
20.489,20.489,0.111,0.035,20.548,20.437
20.489,20.489,0.111,0.035,20.548,20.437
20.486,20.486,0.111,0.036,20.548,20.437
20.484,20.484,0.111,0.037,20.548,20.437
20.483,20.483,0.111,0.037,20.548,20.437
20.486,20.486,0.111,0.037,20.548,20.437
20.483,20.483,0.133,0.04,20.548,20.415
20.484,20.484,0.133,0.041,20.548,20.415
20.485,20.485,0.138,0.042,20.553,20.415
20.488,20.488,0.138,0.044,20.553,20.415
20.49,20.49,0.138,0.046,20.553,20.415
20.49,20.49,0.138,0.046,20.553,20.415
20.489,20.49,0.138,0.045,20.553,20.415
20.484,20.484,0.138,0.047,20.553,20.415
20.485,20.485,0.138,0.047,20.553,20.415
20.487,20.487,0.138,0.046,20.553,20.415
20.489,20.489,0.138,0.045,20.553,20.415
20.493,20.493,0.138,0.044,20.553,20.415
20.493,20.493,0.138,0.043,20.553,20.415
20.491,20.491,0.138,0.044,20.553,20.415
