mean,RMS,ptp,std,max,min
20.5,20.5,0.187,0.04,20.609,20.422
20.5,20.5,0.187,0.04,20.609,20.422
20.5,20.5,0.187,0.04,20.609,20.422
20.499,20.499,0.187,0.039,20.609,20.422
20.5,20.5,0.187,0.039,20.609,20.422
20.5,20.5,0.187,0.039,20.609,20.422
20.5,20.5,0.187,0.039,20.609,20.422
20.5,20.5,0.187,0.039,20.609,20.422
20.501,20.501,0.187,0.038,20.609,20.422
20.502,20.502,0.187,0.038,20.609,20.422
20.502,20.502,0.187,0.038,20.609,20.422
20.501,20.501,0.187,0.038,20.609,20.422
20.501,20.501,0.187,0.038,20.609,20.422
20.502,20.502,0.187,0.037,20.609,20.422
20.503,20.503,0.187,0.037,20.609,20.422
20.504,20.504,0.168,0.036,20.609,20.441
20.504,20.504,0.168,0.036,20.609,20.441
20.505,20.505,0.159,0.035,20.609,20.45
20.505,20.505,0.159,0.035,20.609,20.45
20.505,20.505,0.159,0.035,20.609,20.45
20.505,20.505,0.159,0.035,20.609,20.45
20.505,20.506,0.159,0.035,20.609,20.45
20.504,20.505,0.159,0.034,20.609,20.45
20.504,20.504,0.159,0.034,20.609,20.45
20.504,20.504,0.187,0.035,20.609,20.422
20.505,20.505,0.187,0.034,20.609,20.422
20.504,20.504,0.187,0.035,20.609,20.422
20.505,20.505,0.187,0.035,20.609,20.422
20.505,20.505,0.187,0.035,20.609,20.422
20.505,20.505,0.187,0.035,20.609,20.422
20.504,20.504,0.187,0.035,20.609,20.422
20.504,20.504,0.187,0.036,20.609,20.422
20.505,20.505,0.187,0.036,20.609,20.422
20.505,20.505,0.187,0.035,20.609,20.422
20.505,20.505,0.187,0.035,20.609,20.422
20.505,20.505,0.187,0.035,20.609,20.422
20.505,20.505,0.187,0.035,20.609,20.422
20.506,20.506,0.187,0.035,20.609,20.422
20.505,20.505,0.187,0.033,20.609,20.422
20.504,20.504,0.158,0.03,20.58,20.422
20.503,20.503,0.146,0.03,20.568,20.422
20.503,20.503,0.146,0.03,20.568,20.422
20.503,20.503,0.146,0.029,20.568,20.422
20.504,20.504,0.146,0.029,20.568,20.422
20.505,20.505,0.148,0.03,20.57,20.422
20.505,20.505,0.148,0.03,20.57,20.422
20.504,20.504,0.148,0.029,20.57,20.422
20.505,20.505,0.148,0.029,20.57,20.422
20.504,20.504,0.148,0.028,20.57,20.422
20.503,20.503,0.148,0.029,20.57,20.422
20.504,20.504,0.148,0.029,20.57,20.422
20.504,20.504,0.148,0.029,20.57,20.422
20.504,20.504,0.148,0.029,20.57,20.422
20.505,20.505,0.148,0.029,20.57,20.422
20.506,20.506,0.148,0.029,20.57,20.422
20.505,20.505,0.148,0.029,20.57,20.422
20.505,20.505,0.148,0.029,20.57,20.422
20.504,20.504,0.148,0.03,20.57,20.422
20.505,20.505,0.148,0.03,20.57,20.422
20.504,20.504,0.148,0.032,20.57,20.422
20.504,20.504,0.148,0.032,20.57,20.422
20.503,20.503,0.148,0.033,20.57,20.422
20.504,20.504,0.148,0.034,20.57,20.422
20.505,20.505,0.148,0.034,20.57,20.422
20.504,20.504,0.148,0.034,20.57,20.422
20.505,20.505,0.148,0.034,20.57,20.422
20.506,20.506,0.148,0.035,20.57,20.422
20.506,20.506,0.148,0.035,20.57,20.422
20.506,20.507,0.148,0.035,20.57,20.422
20.507,20.507,0.148,0.035,20.57,20.422
20.506,20.506,0.148,0.035,20.57,20.422
20.507,20.507,0.148,0.036,20.57,20.422
20.507,20.507,0.148,0.036,20.57,20.422
20.508,20.508,0.148,0.036,20.57,20.422
20.506,20.507,0.148,0.037,20.57,20.422
20.506,20.506,0.148,0.037,20.57,20.422
20.506,20.506,0.148,0.037,20.57,20.422
20.507,20.507,0.157,0.038,20.579,20.422
20.506,20.506,0.157,0.038,20.579,20.422
20.506,20.506,0.157,0.038,20.579,20.422
20.505,20.505,0.157,0.038,20.579,20.422
20.505,20.505,0.157,0.038,20.579,20.422
20.505,20.505,0.157,0.038,20.579,20.422
20.504,20.504,0.157,0.038,20.579,20.422
20.503,20.503,0.157,0.038,20.579,20.422
20.503,20.503,0.157,0.038,20.579,20.422
20.502,20.502,0.157,0.039,20.579,20.422
20.502,20.502,0.157,0.039,20.579,20.422
20.502,20.502,0.157,0.039,20.579,20.422
20.503,20.503,0.157,0.04,20.579,20.422
20.502,20.502,0.157,0.04,20.579,20.422
20.502,20.502,0.157,0.04,20.579,20.422
20.502,20.502,0.157,0.04,20.579,20.422
20.502,20.502,0.157,0.04,20.579,20.422
20.503,20.503,0.153,0.039,20.579,20.426
20.502,20.502,0.153,0.04,20.579,20.426
20.503,20.503,0.153,0.039,20.579,20.426
20.503,20.503,0.153,0.039,20.579,20.426
20.502,20.502,0.153,0.039,20.579,20.426
20.502,20.502,0.153,0.039,20.579,20.426
20.502,20.502,0.153,0.039,20.579,20.426
20.503,20.503,0.153,0.039,20.579,20.426
20.503,20.503,0.153,0.039,20.579,20.426
20.503,20.503,0.153,0.039,20.579,20.426
20.503,20.503,0.153,0.039,20.579,20.426
20.503,20.503,0.153,0.039,20.579,20.426
20.502,20.502,0.153,0.04,20.579,20.426
20.501,20.501,0.153,0.04,20.579,20.426
20.5,20.5,0.153,0.04,20.579,20.426
20.499,20.499,0.153,0.04,20.579,20.426
20.499,20.499,0.153,0.04,20.579,20.426
20.499,20.499,0.153,0.039,20.579,20.426
20.499,20.499,0.153,0.039,20.579,20.426
20.498,20.498,0.153,0.039,20.579,20.426
20.498,20.498,0.153,0.039,20.579,20.426
20.498,20.498,0.153,0.039,20.579,20.426
20.497,20.497,0.153,0.039,20.579,20.426
20.497,20.497,0.153,0.038,20.579,20.426
20.498,20.498,0.153,0.038,20.579,20.426
20.498,20.498,0.153,0.038,20.579,20.426
20.498,20.498,0.153,0.038,20.579,20.426
20.497,20.498,0.153,0.038,20.579,20.426
20.498,20.498,0.153,0.038,20.579,20.426
20.499,20.499,0.153,0.039,20.579,20.426
20.498,20.498,0.153,0.038,20.579,20.426
20.499,20.499,0.153,0.038,20.579,20.426
20.499,20.499,0.153,0.038,20.579,20.426
20.5,20.5,0.153,0.037,20.579,20.426
20.499,20.499,0.153,0.037,20.579,20.426
20.5,20.5,0.147,0.036,20.579,20.432
20.501,20.501,0.147,0.036,20.579,20.432
20.502,20.502,0.147,0.035,20.579,20.432
20.502,20.502,0.147,0.034,20.579,20.432
20.501,20.501,0.147,0.034,20.579,20.432
20.502,20.502,0.147,0.033,20.579,20.432
20.502,20.502,0.147,0.033,20.579,20.432
20.501,20.501,0.147,0.033,20.579,20.432
20.501,20.501,0.147,0.033,20.579,20.432
20.501,20.501,0.147,0.033,20.579,20.432
20.502,20.502,0.147,0.033,20.579,20.432
20.503,20.503,0.147,0.032,20.579,20.432
20.502,20.502,0.147,0.032,20.579,20.432
20.502,20.502,0.147,0.032,20.579,20.432
20.501,20.501,0.147,0.031,20.579,20.432
20.502,20.502,0.147,0.031,20.579,20.432
20.503,20.503,0.147,0.031,20.579,20.432
20.503,20.503,0.147,0.031,20.579,20.432
20.501,20.501,0.155,0.032,20.571,20.416
20.501,20.501,0.155,0.032,20.571,20.416
20.501,20.501,0.155,0.031,20.571,20.416
20.501,20.501,0.155,0.031,20.571,20.416
20.501,20.501,0.155,0.031,20.571,20.416
20.501,20.501,0.155,0.031,20.571,20.416
20.501,20.501,0.155,0.031,20.571,20.416
20.502,20.502,0.155,0.031,20.571,20.416
20.501,20.501,0.155,0.032,20.571,20.416
20.501,20.501,0.155,0.033,20.571,20.416
20.501,20.501,0.155,0.033,20.571,20.416
20.5,20.5,0.155,0.033,20.571,20.416
20.498,20.498,0.153,0.032,20.569,20.416
20.498,20.498,0.153,0.032,20.569,20.416
20.499,20.499,0.153,0.032,20.569,20.416
20.499,20.499,0.153,0.032,20.569,20.416
20.499,20.499,0.153,0.032,20.569,20.416
20.499,20.499,0.153,0.032,20.569,20.416
20.5,20.5,0.153,0.032,20.569,20.416
20.501,20.501,0.153,0.031,20.569,20.416
20.501,20.501,0.153,0.031,20.569,20.416
20.501,20.501,0.153,0.031,20.569,20.416
20.502,20.502,0.153,0.031,20.569,20.416
20.502,20.502,0.153,0.031,20.569,20.416
