mean,RMS,ptp,std,max,min
20.505,20.505,0.187,0.045,20.609,20.422
20.505,20.505,0.187,0.045,20.609,20.422
20.505,20.505,0.187,0.045,20.609,20.422
20.503,20.503,0.187,0.045,20.609,20.422
20.502,20.502,0.187,0.045,20.609,20.422
20.502,20.502,0.187,0.045,20.609,20.422
20.502,20.502,0.187,0.045,20.609,20.422
20.501,20.501,0.187,0.045,20.609,20.422
20.502,20.502,0.187,0.044,20.609,20.422
20.502,20.502,0.187,0.044,20.609,20.422
20.501,20.501,0.187,0.044,20.609,20.422
20.5,20.5,0.187,0.043,20.609,20.422
20.499,20.499,0.187,0.043,20.609,20.422
20.5,20.5,0.187,0.042,20.609,20.422
20.499,20.499,0.187,0.042,20.609,20.422
20.5,20.5,0.168,0.041,20.609,20.441
20.5,20.5,0.168,0.041,20.609,20.441
20.501,20.501,0.159,0.04,20.609,20.45
20.501,20.501,0.159,0.04,20.609,20.45
20.501,20.501,0.159,0.04,20.609,20.45
20.5,20.5,0.159,0.04,20.609,20.45
20.501,20.501,0.159,0.04,20.609,20.45
20.5,20.5,0.159,0.039,20.609,20.45
20.499,20.499,0.159,0.039,20.609,20.45
20.501,20.501,0.159,0.038,20.609,20.45
20.502,20.502,0.154,0.038,20.609,20.455
20.502,20.502,0.154,0.038,20.609,20.455
20.503,20.503,0.154,0.037,20.609,20.455
20.505,20.505,0.154,0.037,20.609,20.455
20.505,20.505,0.154,0.037,20.609,20.455
20.506,20.506,0.154,0.037,20.609,20.455
20.507,20.507,0.154,0.036,20.609,20.455
20.508,20.508,0.149,0.035,20.609,20.46
20.508,20.508,0.149,0.035,20.609,20.46
20.508,20.508,0.149,0.035,20.609,20.46
20.509,20.509,0.149,0.035,20.609,20.46
20.509,20.509,0.149,0.034,20.609,20.46
20.51,20.51,0.149,0.034,20.609,20.46
20.509,20.509,0.149,0.031,20.609,20.46
20.506,20.506,0.12,0.027,20.58,20.46
20.505,20.505,0.108,0.025,20.568,20.46
20.505,20.506,0.108,0.025,20.568,20.46
20.504,20.504,0.108,0.024,20.568,20.46
20.505,20.505,0.108,0.023,20.568,20.46
20.504,20.504,0.146,0.026,20.568,20.422
20.503,20.503,0.146,0.025,20.568,20.422
20.501,20.501,0.131,0.025,20.553,20.422
20.502,20.502,0.131,0.025,20.553,20.422
20.501,20.501,0.12,0.023,20.542,20.422
20.501,20.501,0.12,0.023,20.542,20.422
20.5,20.5,0.12,0.025,20.542,20.422
20.498,20.498,0.12,0.027,20.542,20.422
20.498,20.498,0.12,0.027,20.542,20.422
20.5,20.5,0.12,0.027,20.542,20.422
20.5,20.5,0.12,0.027,20.542,20.422
20.5,20.5,0.12,0.027,20.542,20.422
20.5,20.5,0.12,0.027,20.542,20.422
20.501,20.501,0.12,0.027,20.542,20.422
20.502,20.502,0.121,0.027,20.543,20.422
20.503,20.503,0.121,0.027,20.543,20.422
20.505,20.505,0.145,0.028,20.567,20.422
20.504,20.504,0.145,0.029,20.567,20.422
20.505,20.505,0.145,0.029,20.567,20.422
20.506,20.506,0.145,0.029,20.567,20.422
20.508,20.508,0.148,0.03,20.57,20.422
20.509,20.509,0.148,0.03,20.57,20.422
20.51,20.51,0.148,0.03,20.57,20.422
20.511,20.511,0.148,0.03,20.57,20.422
20.51,20.51,0.148,0.03,20.57,20.422
20.509,20.509,0.148,0.031,20.57,20.422
20.51,20.51,0.148,0.031,20.57,20.422
20.511,20.511,0.148,0.031,20.57,20.422
20.511,20.511,0.148,0.031,20.57,20.422
20.51,20.51,0.148,0.031,20.57,20.422
20.511,20.511,0.148,0.031,20.57,20.422
20.51,20.51,0.148,0.032,20.57,20.422
20.509,20.509,0.148,0.032,20.57,20.422
20.507,20.507,0.148,0.034,20.57,20.422
20.507,20.508,0.148,0.034,20.57,20.422
20.506,20.506,0.148,0.035,20.57,20.422
20.504,20.504,0.148,0.036,20.57,20.422
20.502,20.502,0.148,0.037,20.57,20.422
20.503,20.503,0.148,0.038,20.57,20.422
20.504,20.504,0.148,0.038,20.57,20.422
20.502,20.502,0.148,0.039,20.57,20.422
20.501,20.501,0.148,0.039,20.57,20.422
20.502,20.502,0.148,0.039,20.57,20.422
20.502,20.502,0.148,0.039,20.57,20.422
20.502,20.502,0.148,0.039,20.57,20.422
20.503,20.503,0.148,0.04,20.57,20.422
20.502,20.502,0.148,0.04,20.57,20.422
20.503,20.503,0.148,0.041,20.57,20.422
20.503,20.503,0.148,0.041,20.57,20.422
20.504,20.504,0.148,0.042,20.57,20.422
20.504,20.504,0.144,0.041,20.57,20.426
20.504,20.504,0.144,0.041,20.57,20.426
20.505,20.505,0.144,0.04,20.57,20.426
20.506,20.506,0.153,0.041,20.579,20.426
20.505,20.506,0.153,0.041,20.579,20.426
20.506,20.506,0.153,0.041,20.579,20.426
20.507,20.507,0.153,0.04,20.579,20.426
20.509,20.509,0.153,0.039,20.579,20.426
20.508,20.508,0.153,0.039,20.579,20.426
20.507,20.507,0.153,0.039,20.579,20.426
20.506,20.506,0.153,0.039,20.579,20.426
20.506,20.506,0.153,0.039,20.579,20.426
20.504,20.504,0.153,0.04,20.579,20.426
20.505,20.505,0.153,0.04,20.579,20.426
20.505,20.505,0.153,0.04,20.579,20.426
20.506,20.506,0.153,0.041,20.579,20.426
20.503,20.504,0.153,0.041,20.579,20.426
20.504,20.504,0.153,0.041,20.579,20.426
20.503,20.503,0.153,0.04,20.579,20.426
20.503,20.503,0.153,0.04,20.579,20.426
20.501,20.501,0.153,0.04,20.579,20.426
20.5,20.5,0.153,0.04,20.579,20.426
20.498,20.498,0.153,0.04,20.579,20.426
20.499,20.499,0.153,0.04,20.579,20.426
20.499,20.499,0.153,0.04,20.579,20.426
20.499,20.499,0.153,0.039,20.579,20.426
20.497,20.497,0.153,0.04,20.579,20.426
20.496,20.496,0.153,0.04,20.579,20.426
20.497,20.497,0.153,0.04,20.579,20.426
20.498,20.498,0.153,0.041,20.579,20.426
20.497,20.497,0.153,0.041,20.579,20.426
20.497,20.497,0.153,0.041,20.579,20.426
20.496,20.496,0.153,0.041,20.579,20.426
20.497,20.497,0.153,0.041,20.579,20.426
20.495,20.495,0.153,0.041,20.579,20.426
20.496,20.496,0.147,0.04,20.579,20.432
20.498,20.498,0.147,0.039,20.579,20.432
20.499,20.499,0.147,0.038,20.579,20.432
20.498,20.498,0.147,0.038,20.579,20.432
20.497,20.497,0.147,0.037,20.579,20.432
20.499,20.499,0.147,0.037,20.579,20.432
20.499,20.499,0.147,0.038,20.579,20.432
20.498,20.498,0.147,0.037,20.579,20.432
20.497,20.497,0.147,0.037,20.579,20.432
20.498,20.498,0.147,0.037,20.579,20.432
20.497,20.497,0.147,0.036,20.579,20.432
20.498,20.498,0.147,0.036,20.579,20.432
20.498,20.498,0.147,0.035,20.579,20.432
20.498,20.498,0.147,0.035,20.579,20.432
20.498,20.498,0.147,0.035,20.579,20.432
20.499,20.499,0.147,0.035,20.579,20.432
20.5,20.5,0.147,0.035,20.579,20.432
20.5,20.5,0.147,0.035,20.579,20.432
20.498,20.498,0.139,0.033,20.571,20.432
20.498,20.498,0.139,0.033,20.571,20.432
20.498,20.498,0.139,0.033,20.571,20.432
20.498,20.499,0.139,0.032,20.571,20.432
20.498,20.498,0.139,0.032,20.571,20.432
20.499,20.499,0.139,0.032,20.571,20.432
20.499,20.499,0.139,0.032,20.571,20.432
20.5,20.5,0.139,0.032,20.571,20.432
20.5,20.5,0.139,0.032,20.571,20.432
20.502,20.502,0.12,0.031,20.571,20.451
20.502,20.502,0.12,0.03,20.571,20.451
20.501,20.501,0.12,0.03,20.571,20.451
20.501,20.501,0.118,0.029,20.569,20.451
20.502,20.502,0.118,0.029,20.569,20.451
20.502,20.502,0.118,0.029,20.569,20.451
20.503,20.503,0.118,0.029,20.569,20.451
20.502,20.502,0.118,0.029,20.569,20.451
20.503,20.503,0.118,0.028,20.569,20.451
20.505,20.505,0.118,0.028,20.569,20.451
20.506,20.506,0.118,0.028,20.569,20.451
20.503,20.503,0.153,0.03,20.569,20.416
20.503,20.503,0.153,0.03,20.569,20.416
20.504,20.504,0.153,0.03,20.569,20.416
20.505,20.505,0.153,0.029,20.569,20.416
20.506,20.506,0.153,0.029,20.569,20.416
20.505,20.505,0.153,0.028,20.569,20.416
20.504,20.504,0.153,0.027,20.569,20.416
20.504,20.504,0.153,0.027,20.569,20.416
20.503,20.503,0.153,0.029,20.569,20.416
20.502,20.502,0.153,0.03,20.569,20.416
20.504,20.504,0.153,0.03,20.569,20.416
20.504,20.504,0.153,0.029,20.569,20.416
20.503,20.503,0.153,0.031,20.569,20.416
20.503,20.503,0.153,0.03,20.569,20.416
20.503,20.503,0.153,0.031,20.569,20.416
20.503,20.503,0.153,0.031,20.569,20.416
20.504,20.504,0.153,0.031,20.569,20.416
