mean,RMS,ptp,std,max,min
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.034,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
20.497,20.497,0.272,0.035,20.61,20.338
