"No.","Time","Source","Destination","Protocol","Address","Length","Name","Info"
"113","6.723410","10.169.156.72","142.250.184.110","TLSv1.3","","97","","Application Data"
"114","6.724324","142.250.184.110","10.169.156.72","TLSv1.3","","97","","Application Data"
"115","6.724364","10.169.156.72","142.250.184.110","TCP","","66","","49514  >  443 [ACK] Seq=2324 Ack=7754 Win=131008 Len=0 TSval=495590026 TSecr=2034985553"
"116","6.726765","142.250.184.110","10.169.156.72","TCP","","66","","443  >  49514 [ACK] Seq=7754 Ack=2293 Win=72448 Len=0 TSval=2034985556 TSecr=495590025"
"117","6.726936","142.250.180.141","10.169.156.72","TCP","","66","","443  >  49513 [ACK] Seq=5417 Ack=2524 Win=72448 Len=0 TSval=476471074 TSecr=495590024"
"118","6.730331","10.169.156.72","142.250.184.110","TCP","","97","","[TCP Retransmission] 49514  >  443 [PSH, ACK] Seq=2293 Ack=7754 Win=131072 Len=31 TSval=495590031 TSecr=2034985556"
"119","6.731885","142.250.184.110","10.169.156.72","TCP","","66","","443  >  49514 [ACK] Seq=7754 Ack=2324 Win=72448 Len=0 TSval=2034985561 TSecr=495590025"
"120","6.732489","142.250.184.110","10.169.156.72","TCP","","78","","[TCP Dup ACK 119#1] 443  >  49514 [ACK] Seq=7754 Ack=2324 Win=72448 Len=0 TSval=2034985562 TSecr=495590031 SLE=2293 SRE=2324"
"121","6.753596","142.250.180.141","10.169.156.72","TLSv1.3","","1166","","Application Data"
"122","6.753675","10.169.156.72","142.250.180.141","TCP","","66","","49513  >  443 [ACK] Seq=2524 Ack=6517 Win=129920 Len=0 TSval=495590053 TSecr=476471100"
"123","6.753842","142.250.180.141","10.169.156.72","TLSv1.3","","801","","Application Data, Application Data, Application Data"
"124","6.753844","142.250.180.141","10.169.156.72","TLSv1.3","","105","","Application Data"
"125","6.753876","10.169.156.72","142.250.180.141","TCP","","66","","49513  >  443 [ACK] Seq=2524 Ack=7291 Win=130240 Len=0 TSval=495590053 TSecr=476471100"
"126","6.754845","10.169.156.72","142.250.180.141","TLSv1.3","","105","","Application Data"
"127","6.762084","142.250.180.141","10.169.156.72","TCP","","66","","443  >  49513 [ACK] Seq=7291 Ack=2563 Win=72448 Len=0 TSval=476471109 TSecr=495590054"
"128","6.786113","142.250.184.110","10.169.156.72","TLSv1.3","","1371","","Application Data"
"129","6.786191","10.169.156.72","142.250.184.110","TCP","","66","","49514  >  443 [ACK] Seq=2324 Ack=9059 Win=129728 Len=0 TSval=495590084 TSecr=2034985615"
"130","6.786347","142.250.184.110","10.169.156.72","TLSv1.3","","1484","","Application Data"
"131","6.786352","142.250.184.110","10.169.156.72","TLSv1.3","","1312","","Application Data"
"132","6.786406","10.169.156.72","142.250.184.110","TCP","","66","","49514  >  443 [ACK] Seq=2324 Ack=11723 Win=128384 Len=0 TSval=495590084 TSecr=2034985615"
"133","6.788404","142.250.184.110","10.169.156.72","TLSv1.3","","1484","","Application Data"
