"No.","Time","Source","Destination","Protocol","Address","Length","Name","Info"
"4553","32.978880","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3170788 Win=427904 Len=0 TSval=495615990 TSecr=1146982695"
"4554","32.980243","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3170788 Ack=22240 Win=111872 Len=1448 TSval=1146982695 TSecr=495615979 [TCP segment of a reassembled PDU]"
"4555","32.980247","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3172236 Ack=22240 Win=111872 Len=1448 TSval=1146982695 TSecr=495615979 [TCP segment of a reassembled PDU]"
"4556","32.980309","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3173684 Win=427904 Len=0 TSval=495615992 TSecr=1146982695"
"4557","32.980646","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [PSH, ACK] Seq=3173684 Ack=22240 Win=111872 Len=1448 TSval=1146982695 TSecr=495615979 [TCP segment of a reassembled PDU]"
"4558","32.980650","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3175132 Ack=22240 Win=111872 Len=1448 TSval=1146982696 TSecr=495615979 [TCP segment of a reassembled PDU]"
"4559","32.980707","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3176580 Win=427904 Len=0 TSval=495615992 TSecr=1146982696"
"4560","32.980874","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3176580 Ack=22240 Win=111872 Len=1448 TSval=1146982696 TSecr=495615979 [TCP segment of a reassembled PDU]"
"4561","32.980882","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3178028 Ack=22240 Win=111872 Len=1448 TSval=1146982696 TSecr=495615979 [TCP segment of a reassembled PDU]"
"4562","32.980929","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3179476 Win=427904 Len=0 TSval=495615992 TSecr=1146982696"
"4563","32.981117","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3179476 Ack=22240 Win=111872 Len=1448 TSval=1146982696 TSecr=495615979 [TCP segment of a reassembled PDU]"
"4564","32.981121","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3180924 Ack=22240 Win=111872 Len=1448 TSval=1146982696 TSecr=495615979 [TCP segment of a reassembled PDU]"
"4565","32.981171","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3182372 Win=427904 Len=0 TSval=495615992 TSecr=1146982696"
"4566","32.981508","193.206.135.76","10.169.156.72","TLSv1.3","","1514","","Application Data [TCP segment of a reassembled PDU]"
"4567","32.981512","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3183820 Ack=22240 Win=111872 Len=1448 TSval=1146982697 TSecr=495615979 [TCP segment of a reassembled PDU]"
"4568","32.981581","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3185268 Win=427904 Len=0 TSval=495615993 TSecr=1146982697"
"4569","32.982183","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3185268 Ack=22240 Win=111872 Len=1448 TSval=1146982697 TSecr=495615979 [TCP segment of a reassembled PDU]"
"4570","32.982187","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3186716 Ack=22240 Win=111872 Len=1448 TSval=1146982697 TSecr=495615979 [TCP segment of a reassembled PDU]"
"4571","32.982254","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3188164 Win=427904 Len=0 TSval=495615993 TSecr=1146982697"
"4572","32.982629","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3188164 Ack=22240 Win=111872 Len=1448 TSval=1146982697 TSecr=495615979 [TCP segment of a reassembled PDU]"
"4573","32.982632","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3189612 Ack=22240 Win=111872 Len=1448 TSval=1146982697 TSecr=495615979 [TCP segment of a reassembled PDU]"
"4574","32.982687","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3191060 Win=427904 Len=0 TSval=495615994 TSecr=1146982697"
"4575","32.982987","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [PSH, ACK] Seq=3191060 Ack=22240 Win=111872 Len=1448 TSval=1146982697 TSecr=495615979 [TCP segment of a reassembled PDU]"
"4576","32.982990","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3192508 Ack=22240 Win=111872 Len=1448 TSval=1146982698 TSecr=495615980 [TCP segment of a reassembled PDU]"
"4577","32.983029","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3193956 Win=427904 Len=0 TSval=495615994 TSecr=1146982698"
"4578","32.983288","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3193956 Ack=22240 Win=111872 Len=1448 TSval=1146982698 TSecr=495615980 [TCP segment of a reassembled PDU]"
"4579","32.983291","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3195404 Ack=22240 Win=111872 Len=1448 TSval=1146982698 TSecr=495615980 [TCP segment of a reassembled PDU]"
"4580","32.983331","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3196852 Win=427904 Len=0 TSval=495615994 TSecr=1146982698"
"4581","32.983631","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3196852 Ack=22240 Win=111872 Len=1448 TSval=1146982698 TSecr=495615980 [TCP segment of a reassembled PDU]"
"4582","32.983633","193.206.135.76","10.169.156.72","TLSv1.3","","1514","","Application Data [TCP segment of a reassembled PDU]"
"4583","32.983668","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3199748 Win=427904 Len=0 TSval=495615995 TSecr=1146982698"
"4584","32.984365","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [PSH, ACK] Seq=3199748 Ack=22240 Win=111872 Len=1448 TSval=1146982698 TSecr=495615980 [TCP segment of a reassembled PDU]"
"4585","32.984368","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3201196 Ack=22240 Win=111872 Len=1448 TSval=1146982699 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4586","32.984429","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3202644 Win=427904 Len=0 TSval=495615995 TSecr=1146982699"
"4587","32.984710","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3202644 Ack=22240 Win=111872 Len=1448 TSval=1146982699 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4588","32.984713","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3204092 Ack=22240 Win=111872 Len=1448 TSval=1146982699 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4589","32.984760","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3205540 Win=427904 Len=0 TSval=495615996 TSecr=1146982699"
"4590","32.984940","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3205540 Ack=22240 Win=111872 Len=1448 TSval=1146982699 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4591","32.984943","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3206988 Ack=22240 Win=111872 Len=1448 TSval=1146982699 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4592","32.984979","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3208436 Win=427904 Len=0 TSval=495615996 TSecr=1146982699"
"4593","32.985257","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [PSH, ACK] Seq=3208436 Ack=22240 Win=111872 Len=1448 TSval=1146982699 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4594","32.985261","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3209884 Ack=22240 Win=111872 Len=1448 TSval=1146982700 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4595","32.985297","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3211332 Win=427904 Len=0 TSval=495615996 TSecr=1146982700"
"4596","32.985581","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3211332 Ack=22240 Win=111872 Len=1448 TSval=1146982700 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4597","32.985584","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3212780 Ack=22240 Win=111872 Len=1448 TSval=1146982700 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4598","32.985617","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3214228 Win=427904 Len=0 TSval=495615996 TSecr=1146982700"
"4599","32.985868","193.206.135.76","10.169.156.72","TLSv1.3","","1514","","Application Data [TCP segment of a reassembled PDU]"
"4600","32.985871","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3215676 Ack=22240 Win=111872 Len=1448 TSval=1146982700 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4601","32.985907","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3217124 Win=427904 Len=0 TSval=495615997 TSecr=1146982700"
"4602","32.986260","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [PSH, ACK] Seq=3217124 Ack=22240 Win=111872 Len=1448 TSval=1146982700 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4603","32.986263","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3218572 Ack=22240 Win=111872 Len=1448 TSval=1146982701 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4604","32.986316","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3220020 Win=427904 Len=0 TSval=495615997 TSecr=1146982701"
"4605","32.986991","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3220020 Ack=22240 Win=111872 Len=1448 TSval=1146982701 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4606","32.986995","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3221468 Ack=22240 Win=111872 Len=1448 TSval=1146982701 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4607","32.987032","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3222916 Win=427904 Len=0 TSval=495615998 TSecr=1146982701"
"4608","32.987708","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3222916 Ack=22240 Win=111872 Len=1448 TSval=1146982701 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4609","32.987710","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3224364 Ack=22240 Win=111872 Len=1448 TSval=1146982701 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4610","32.987746","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3225812 Win=427904 Len=0 TSval=495615998 TSecr=1146982701"
"4611","32.988121","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [PSH, ACK] Seq=3225812 Ack=22240 Win=111872 Len=1448 TSval=1146982701 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4612","32.988123","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3227260 Ack=22240 Win=111872 Len=1448 TSval=1146982701 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4613","32.988156","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3228708 Win=427904 Len=0 TSval=495615999 TSecr=1146982701"
"4614","32.988359","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3228708 Ack=22240 Win=111872 Len=1448 TSval=1146982701 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4615","32.988362","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [PSH, ACK] Seq=3230156 Ack=22240 Win=111872 Len=1448 TSval=1146982701 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4616","32.988397","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3231604 Win=427904 Len=0 TSval=495615999 TSecr=1146982701"
"4617","32.988746","193.206.135.76","10.169.156.72","TLSv1.3","","1514","","Application Data [TCP segment of a reassembled PDU]"
"4618","32.988749","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3233052 Ack=22240 Win=111872 Len=1448 TSval=1146982702 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4619","32.988791","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3234500 Win=427904 Len=0 TSval=495615999 TSecr=1146982702"
"4620","32.989040","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3234500 Ack=22240 Win=111872 Len=1448 TSval=1146982702 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4621","32.989044","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3235948 Ack=22240 Win=111872 Len=1448 TSval=1146982702 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4622","32.989102","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3237396 Win=427904 Len=0 TSval=495615999 TSecr=1146982702"
"4623","32.989366","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3237396 Ack=22240 Win=111872 Len=1448 TSval=1146982702 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4624","32.989368","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [PSH, ACK] Seq=3238844 Ack=22240 Win=111872 Len=1448 TSval=1146982702 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4625","32.989426","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3240292 Win=427904 Len=0 TSval=495616000 TSecr=1146982702"
"4626","32.989701","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3240292 Ack=22240 Win=111872 Len=1448 TSval=1146982703 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4627","32.989704","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3241740 Ack=22240 Win=111872 Len=1448 TSval=1146982703 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4628","32.989742","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3243188 Win=427904 Len=0 TSval=495616000 TSecr=1146982703"
"4629","32.990022","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3243188 Ack=22240 Win=111872 Len=1448 TSval=1146982703 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4630","32.990025","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3244636 Ack=22240 Win=111872 Len=1448 TSval=1146982703 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4631","32.990063","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3246084 Win=427904 Len=0 TSval=495616000 TSecr=1146982703"
"4632","32.990331","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3246084 Ack=22240 Win=111872 Len=1448 TSval=1146982703 TSecr=495615984 [TCP segment of a reassembled PDU]"
"4633","32.990334","193.206.135.76","10.169.156.72","TLSv1.3","","1514","","Application Data [TCP segment of a reassembled PDU]"
"4634","32.990367","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3248980 Win=427904 Len=0 TSval=495616000 TSecr=1146982703"
"4635","32.990692","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3248980 Ack=22240 Win=111872 Len=1448 TSval=1146982704 TSecr=495615985 [TCP segment of a reassembled PDU]"
"4636","32.990696","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3250428 Ack=22240 Win=111872 Len=1448 TSval=1146982704 TSecr=495615985 [TCP segment of a reassembled PDU]"
"4637","32.990756","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3251876 Win=427904 Len=0 TSval=495616001 TSecr=1146982704"
"4638","32.990958","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3251876 Ack=22240 Win=111872 Len=1448 TSval=1146982704 TSecr=495615985 [TCP segment of a reassembled PDU]"
"4639","32.990962","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3253324 Ack=22240 Win=111872 Len=1448 TSval=1146982704 TSecr=495615985 [TCP segment of a reassembled PDU]"
"4640","32.991002","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3254772 Win=427904 Len=0 TSval=495616001 TSecr=1146982704"
"4641","32.992105","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3254772 Ack=22240 Win=111872 Len=1448 TSval=1146982704 TSecr=495615985 [TCP segment of a reassembled PDU]"
"4642","32.992107","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [PSH, ACK] Seq=3256220 Ack=22240 Win=111872 Len=1448 TSval=1146982704 TSecr=495615985 [TCP segment of a reassembled PDU]"
"4643","32.992141","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3257668 Win=427904 Len=0 TSval=495616002 TSecr=1146982704"
"4644","32.992508","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3257668 Ack=22240 Win=111872 Len=1448 TSval=1146982705 TSecr=495615985 [TCP segment of a reassembled PDU]"
"4645","32.992511","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3259116 Ack=22240 Win=111872 Len=1448 TSval=1146982705 TSecr=495615985 [TCP segment of a reassembled PDU]"
"4646","32.992544","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3260564 Win=427904 Len=0 TSval=495616002 TSecr=1146982705"
"4647","32.992799","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3260564 Ack=22240 Win=111872 Len=1448 TSval=1146982705 TSecr=495615985 [TCP segment of a reassembled PDU]"
"4648","32.992802","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3262012 Ack=22240 Win=111872 Len=1448 TSval=1146982705 TSecr=495615985 [TCP segment of a reassembled PDU]"
"4649","32.992835","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3263460 Win=427904 Len=0 TSval=495616002 TSecr=1146982705"
"4650","32.993170","193.206.135.76","10.169.156.72","TLSv1.3","","1514","","Application Data [TCP segment of a reassembled PDU]"
"4651","32.993173","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [PSH, ACK] Seq=3264908 Ack=22240 Win=111872 Len=1448 TSval=1146982705 TSecr=495615985 [TCP segment of a reassembled PDU]"
"4652","32.993206","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3266356 Win=427904 Len=0 TSval=495616003 TSecr=1146982705"
"4653","32.993517","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3266356 Ack=22240 Win=111872 Len=1448 TSval=1146982706 TSecr=495615985 [TCP segment of a reassembled PDU]"
"4654","32.993520","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3267804 Ack=22240 Win=111872 Len=1448 TSval=1146982706 TSecr=495615985 [TCP segment of a reassembled PDU]"
"4655","32.993573","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3269252 Win=427904 Len=0 TSval=495616003 TSecr=1146982706"
"4656","32.994087","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3269252 Ack=22240 Win=111872 Len=1448 TSval=1146982706 TSecr=495615985 [TCP segment of a reassembled PDU]"
"4657","32.994090","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3270700 Ack=22240 Win=111872 Len=1448 TSval=1146982706 TSecr=495615985 [TCP segment of a reassembled PDU]"
"4658","32.994092","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3272148 Ack=22240 Win=111872 Len=1448 TSval=1146982706 TSecr=495615985 [TCP segment of a reassembled PDU]"
"4659","32.994095","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [PSH, ACK] Seq=3273596 Ack=22240 Win=111872 Len=1448 TSval=1146982706 TSecr=495615985 [TCP segment of a reassembled PDU]"
"4660","32.994136","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3275044 Win=427904 Len=0 TSval=495616003 TSecr=1146982706"
"4661","32.994504","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3275044 Ack=22240 Win=111872 Len=1448 TSval=1146982707 TSecr=495615990 [TCP segment of a reassembled PDU]"
"4662","32.994507","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3276492 Ack=22240 Win=111872 Len=1448 TSval=1146982707 TSecr=495615990 [TCP segment of a reassembled PDU]"
"4663","32.994542","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3277940 Win=427904 Len=0 TSval=495616004 TSecr=1146982707"
"4664","32.994859","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3277940 Ack=22240 Win=111872 Len=1448 TSval=1146982707 TSecr=495615990 [TCP segment of a reassembled PDU]"
"4665","32.994862","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3279388 Ack=22240 Win=111872 Len=1448 TSval=1146982707 TSecr=495615990 [TCP segment of a reassembled PDU]"
"4666","32.994896","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3280836 Win=427904 Len=0 TSval=495616004 TSecr=1146982707"
"4667","32.995775","193.206.135.76","10.169.156.72","TLSv1.3","","1514","","Application Data [TCP segment of a reassembled PDU]"
"4668","32.995779","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [PSH, ACK] Seq=3282284 Ack=22240 Win=111872 Len=1448 TSval=1146982707 TSecr=495615990 [TCP segment of a reassembled PDU]"
"4669","32.995864","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3283732 Win=427904 Len=0 TSval=495616005 TSecr=1146982707"
"4670","32.996090","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3283732 Ack=22240 Win=111872 Len=1448 TSval=1146982708 TSecr=495615990 [TCP segment of a reassembled PDU]"
"4671","32.996095","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3285180 Ack=22240 Win=111872 Len=1448 TSval=1146982708 TSecr=495615990 [TCP segment of a reassembled PDU]"
"4672","32.996172","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3286628 Win=427904 Len=0 TSval=495616005 TSecr=1146982708"
"4673","32.996445","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3286628 Ack=22240 Win=111872 Len=1448 TSval=1146982708 TSecr=495615990 [TCP segment of a reassembled PDU]"
"4674","32.996449","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3288076 Ack=22240 Win=111872 Len=1448 TSval=1146982708 TSecr=495615990 [TCP segment of a reassembled PDU]"
"4675","32.996504","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3289524 Win=427904 Len=0 TSval=495616005 TSecr=1146982708"
"4676","32.996706","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3289524 Ack=22240 Win=111872 Len=1448 TSval=1146982708 TSecr=495615990 [TCP segment of a reassembled PDU]"
"4677","32.996709","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [PSH, ACK] Seq=3290972 Ack=22240 Win=111872 Len=1448 TSval=1146982708 TSecr=495615990 [TCP segment of a reassembled PDU]"
"4678","32.996781","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3292420 Win=427904 Len=0 TSval=495616005 TSecr=1146982708"
"4679","32.997023","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3292420 Ack=22240 Win=111872 Len=1448 TSval=1146982709 TSecr=495615990 [TCP segment of a reassembled PDU]"
"4680","32.997027","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3293868 Ack=22240 Win=111872 Len=1448 TSval=1146982709 TSecr=495615990 [TCP segment of a reassembled PDU]"
"4681","32.997086","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3295316 Win=427904 Len=0 TSval=495616006 TSecr=1146982709"
"4682","32.997400","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [PSH, ACK] Seq=3295316 Ack=22240 Win=111872 Len=1448 TSval=1146982709 TSecr=495615990 [TCP segment of a reassembled PDU]"
"4683","32.997404","193.206.135.76","10.169.156.72","TLSv1.3","","1514","","Application Data [TCP segment of a reassembled PDU]"
"4684","32.997458","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3298212 Win=427904 Len=0 TSval=495616006 TSecr=1146982709"
"4685","32.997751","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3298212 Ack=22240 Win=111872 Len=1448 TSval=1146982709 TSecr=495615990 [TCP segment of a reassembled PDU]"
"4686","32.997755","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3299660 Ack=22240 Win=111872 Len=1448 TSval=1146982709 TSecr=495615990 [TCP segment of a reassembled PDU]"
"4687","32.997861","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3301108 Win=427904 Len=0 TSval=495616006 TSecr=1146982709"
"4688","32.998261","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3301108 Ack=22240 Win=111872 Len=1448 TSval=1146982709 TSecr=495615990 [TCP segment of a reassembled PDU]"
"4689","32.998264","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [ACK] Seq=3302556 Ack=22240 Win=111872 Len=1448 TSval=1146982709 TSecr=495615990 [TCP segment of a reassembled PDU]"
"4690","32.998312","10.169.156.72","193.206.135.76","TCP","","66","","49521  >  443 [ACK] Seq=22240 Ack=3304004 Win=427904 Len=0 TSval=495616007 TSecr=1146982709"
"4691","32.998679","193.206.135.76","10.169.156.72","TCP","","1514","","443  >  49521 [PSH, ACK] Seq=3304004 Ack=22240 Win=111872 Len=1448 TSval=1146982709 TSecr=495615990 [TCP segment of a reassembled PDU]"
