Date,VOL_DL,VOL_UL
09/10/2021 16:00,7302109530,838325020
09/10/2021 17:00,7247072150,856786394
09/10/2021 18:00,7341905859,875667894
09/10/2021 19:00,7304896068,874019866
09/10/2021 20:00,7341979523,836464411
09/10/2021 21:00,7713455779,789164802
09/10/2021 22:00,7832047455,744749999
09/10/2021 23:00,7341684862,660894300
10/10/2021 00:00,6287632100,573864940
10/10/2021 01:00,4560506957,422446028
10/10/2021 02:00,3131178134,342470499
10/10/2021 03:00,2113852562,291915918
10/10/2021 04:00,1517432593,231195789
10/10/2021 05:00,1198772576,199361521
10/10/2021 06:00,1323047892,186456784
10/10/2021 07:00,1756207150,203135431
10/10/2021 08:00,2954648706,311619463
10/10/2021 09:00,4320710380,464043764
10/10/2021 10:00,5332394174,617874320
10/10/2021 11:00,5908786617,701881821
10/10/2021 12:00,6135622844,747879902
10/10/2021 13:00,6567477806,737931958
10/10/2021 14:00,7602775104,754274704
10/10/2021 15:00,7759272957,808448562
10/10/2021 16:00,7417995067,828732125
10/10/2021 17:00,7294148109,852889357
10/10/2021 18:00,7534919773,881456369
10/10/2021 19:00,7438872236,836259958
10/10/2021 20:00,7686276500,802472578
10/10/2021 21:00,8485348910,850603285
10/10/2021 22:00,8919272385,778525487
10/10/2021 23:00,8210514093,708511976
11/10/2021 00:00,6297091626,524043942
11/10/2021 01:00,4030144171,345775503
11/10/2021 02:00,2438575646,267707844
11/10/2021 03:00,1520235725,225522693
11/10/2021 04:00,1102634900,201116074
11/10/2021 05:00,1042331842,207388363
11/10/2021 06:00,1801841477,242912104
11/10/2021 07:00,3638665723,406824150
11/10/2021 08:00,5728643173,687685338
11/10/2021 09:00,6565147270,941292731
11/10/2021 10:00,6663786653,1065718374
11/10/2021 11:00,6875392677,1104759934
11/10/2021 12:00,7314596431,1101505851
11/10/2021 13:00,7721208730,991715016
11/10/2021 14:00,8009944107,1107874154
11/10/2021 15:00,8003228403,1208408638
11/10/2021 16:00,7874342884,1212422326
11/10/2021 17:00,8158237581,1272523133
11/10/2021 18:00,7998310465,1178296005
11/10/2021 19:00,7684465067,1011684020
11/10/2021 20:00,7735751901,894918489
11/10/2021 21:00,8681389870,915905789
11/10/2021 22:00,8974765273,845031066
11/10/2021 23:00,8022003035,688114071
12/10/2021 00:00,5871212166,508971754
12/10/2021 01:00,3692567903,331574544
12/10/2021 02:00,2241932103,245180949
12/10/2021 03:00,1527682459,220604357
12/10/2021 04:00,1178314579,190198577
12/10/2021 05:00,1162037560,209076196
12/10/2021 06:00,2005678151,256135542
12/10/2021 07:00,4033279754,435755619
12/10/2021 08:00,5997958896,698338467
12/10/2021 09:00,6740497905,981218066
12/10/2021 10:00,6693498515,1093864086
12/10/2021 11:00,6956638462,1125644136
12/10/2021 12:00,7374441384,1110439299
12/10/2021 13:00,7910669971,991289239
12/10/2021 14:00,8274092113,1086853670
12/10/2021 15:00,8139357709,1262073155
12/10/2021 16:00,8130737137,1267189779
12/10/2021 17:00,8315974003,1246761061
12/10/2021 18:00,8242464922,1194264996
12/10/2021 19:00,7966848969,1054385714
12/10/2021 20:00,7831299177,943131297
12/10/2021 21:00,8543311524,875938889
12/10/2021 22:00,8892270099,822222018
12/10/2021 23:00,8075559941,734556764
13/10/2021 00:00,6067774793,538465789
13/10/2021 01:00,3931073965,361292121
13/10/2021 02:00,2307882720,256610798
13/10/2021 03:00,1448378843,199898946
13/10/2021 04:00,1122884452,172453268
13/10/2021 05:00,1191250126,187294160
13/10/2021 06:00,1984951077,223370686
13/10/2021 07:00,4073101118,409849585
13/10/2021 08:00,6191683143,716336378
13/10/2021 09:00,6874875670,983070259
13/10/2021 10:00,6925421234,1090627077
13/10/2021 11:00,7059811048,1139484558
13/10/2021 12:00,7495120318,1126437329
13/10/2021 13:00,7769508131,976652865
13/10/2021 14:00,8160605558,1113904845
13/10/2021 15:00,8125455939,1199159602
13/10/2021 16:00,7908675770,1197470992
13/10/2021 17:00,8046756616,1228157982
13/10/2021 18:00,8180982313,1209303535
13/10/2021 19:00,7795045642,1046878835
13/10/2021 20:00,7619206078,903996936
13/10/2021 21:00,8385288903,905455659
13/10/2021 22:00,8829543419,827171053
13/10/2021 23:00,8073573238,707382823
14/10/2021 00:00,6298494030,527808730
14/10/2021 01:00,4018291786,339789665
14/10/2021 02:00,2424458282,258954940
14/10/2021 03:00,1579081720,211701493
14/10/2021 04:00,1187198993,174670046
14/10/2021 05:00,1184249596,187164236
14/10/2021 06:00,2052118442,228585584
14/10/2021 07:00,4090938436,413942016
14/10/2021 08:00,6205075989,705904687
14/10/2021 09:00,6794111749,976103169
14/10/2021 10:00,6841949903,1074349788
14/10/2021 11:00,7098754834,1109264864
14/10/2021 12:00,7548803982,1107429782
14/10/2021 13:00,7887556705,985241899
14/10/2021 14:00,8293168081,1099049487
14/10/2021 15:00,8268019656,1190990576
14/10/2021 16:00,8089589608,1187979168
14/10/2021 17:00,8314780086,1240384999
14/10/2021 18:00,8340899475,1185331691
